cart_pos,cart_vel,pole_angle,pole_vel,action_0_value,action_1_value
0.10000000149011612,0.6000000238418579,-0.20000000298023224,-1.2000000476837158,15.0,-1000.0
0.10000000149011612,0.4000000059604645,-0.20000000298023224,-0.800000011920929,15.0,-950.0
0.10000000149011612,0.20000000298023224,-0.20000000298023224,-0.5,15.0,-902.5
0.10000000149011612,0.4000000059604645,-0.20000000298023224,-0.699999988079071,-857.375,15.0
0.10000000149011612,0.6000000238418579,-0.10000000149011612,-1.0,-814.5062499999999,15.0
0.10000000149011612,0.6000000238418579,-0.10000000149011612,-0.8999999761581421,15.0,-735.0918906249998
0.10000000149011612,0.800000011920929,-0.10000000149011612,-1.2000000476837158,-698.3372960937497,15.0
0.0,1.0,-0.0,-1.5,-663.4204312890622,15.0
0.0,0.800000011920929,-0.0,-1.2000000476837158,15.0,-630.2494097246091
0.0,0.6000000238418579,0.0,-0.8999999761581421,15.0,-598.7369392383787
-0.0,0.4000000059604645,0.0,-0.6000000238418579,-193.71148445850088,-568.8000922764597
-0.0,0.20000000298023224,0.0,-0.30000001192092896,-203.9068257457904,-540.3600876626367
-0.0,0.0,0.0,-0.0,-189.6566957789564,-513.3420832795049
-0.5,0.0,-0.20000000298023224,-1.899999976158142,15.0,-1000.0
-0.5,-0.20000000298023224,-0.20000000298023224,-1.5,15.0,-950.0
-0.5,0.0,-0.10000000149011612,-1.7999999523162842,-902.5,15.0
-0.5,-0.20000000298023224,-0.10000000149011612,-1.5,15.0,-857.375
-0.5,-0.4000000059604645,-0.10000000149011612,-1.100000023841858,15.0,-814.5062499999999
-0.5,-0.6000000238418579,-0.10000000149011612,-0.800000011920929,15.0,-773.7809374999998
-0.4000000059604645,-0.699999988079071,-0.0,-0.5,15.0,-735.0918906249998
-0.4000000059604645,-0.8999999761581421,-0.0,-0.20000000298023224,15.0,-698.3372960937497
-0.4000000059604645,-1.100000023841858,-0.0,0.10000000149011612,15.0,-663.4204312890622
-0.4000000059604645,-1.2999999523162842,-0.10000000149011612,0.4000000059604645,15.0,-630.2494097246091
-0.30000001192092896,-1.5,-0.10000000149011612,0.699999988079071,15.0,-598.7369392383787
-0.30000001192092896,-1.7000000476837158,-0.10000000149011612,1.0,15.0,-568.8000922764597
-0.30000001192092896,-1.899999976158142,-0.10000000149011612,1.399999976158142,15.0,-540.3600876626367
-0.20000000298023224,-1.7000000476837158,-0.10000000149011612,1.100000023841858,-513.3420832795049,15.0
-0.20000000298023224,-1.5,-0.20000000298023224,0.8999999761581421,-487.6749791155296,15.0
-0.20000000298023224,-1.2999999523162842,-0.20000000298023224,0.6000000238418579,-463.29123015975307,15.0
-0.20000000298023224,-1.2000000476837158,-0.20000000298023224,0.4000000059604645,-440.1266686517654,15.0
-0.10000000149011612,-1.0,-0.20000000298023224,0.20000000298023224,-418.1203352191771,15.0
-0.10000000149011612,-0.800000011920929,-0.20000000298023224,-0.10000000149011612,-397.2143184582182,15.0
-0.10000000149011612,-0.6000000238418579,-0.20000000298023224,-0.30000001192092896,-377.3536025353073,15.0
-0.10000000149011612,-0.4000000059604645,-0.20000000298023224,-0.5,-358.4859224085419,15.0
-0.10000000149011612,-0.6000000238418579,-0.20000000298023224,-0.20000000298023224,15.0,-340.5616262881148
-0.10000000149011612,-0.800000011920929,-0.20000000298023224,0.10000000149011612,15.0,-323.533544973709
-0.10000000149011612,-0.6000000238418579,-0.20000000298023224,-0.10000000149011612,-307.35686772502356,15.0
-0.0,-0.800000011920929,-0.20000000298023224,0.20000000298023224,15.0,-291.98902433877237
-0.0,-0.6000000238418579,-0.20000000298023224,-0.0,-277.38957312183373,15.0
-0.0,-0.4000000059604645,-0.20000000298023224,-0.20000000298023224,-263.52009446574203,15.0
-0.0,-0.20000000298023224,-0.10000000149011612,-0.5,-250.3440897424549,15.0
